Geographic Area,2LA,3LA,CLLI,Location
Angusville,AN,ANG,,https://maps.app.goo.gl/a8DpnUXZyMVveP5y7
Ashern,,ASH,,https://goo.gl/maps/kmAFVY4qGHGNCQSm6
Ashville,AH,AHV,,
Austin,AU,AUS,,https://maps.app.goo.gl/aF8jsGqF9fcMTZd8A
Bellsite,,BLS,,https://maps.app.goo.gl/rWdkxs7v9CrwoG4N6
Benito,BE,BEN,,https://goo.gl/maps/25cDRRP46qe9ta2Q6
"Bield (Westman Wireless)",,BLD,,
Binscarth,BN,BIN,,
"Birch River",BV,BCH,,
"Birchview (Westman Wireless)",,BRV,,
Birnie,RR,BII,,
Birtle,BI,BIR,,
Boissevain,BO,BOI,BSVNMB,https://goo.gl/maps/Je9pjL4fmbn3E5Hf7
Bowsman,BM,BOW,,
Brandon,BR,BDN,BRNDMB,https://goo.gl/maps/ECozrMzCEpeZi16x7
Camperville,CM,CAM,,
Carberry,CA,CAR,CRBRMB,https://goo.gl/maps/XcrKzdyZ5fXH7JgU8
Clearwater,CL,CLW,,
"Clear Lake",CE,CLK,,
Cowan,CO,COW,,
